Date : 2025-04-29 21:45:38
Directory : d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT
Total : 1270 files,  439356 codes, 44993 comments, 41954 blanks, all 526303 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\libs\tiny_ttf\lv_tiny_ttf.c                                                                                      | C                |        261 |          7 |         17 |        285 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\libs\tiny_ttf\lv_tiny_ttf.h                                                                                      | C++              |         20 |         25 |         18 |         63 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\libs\tiny_ttf\stb_rect_pack.h                                                                                    | C++              |        331 |        229 |         74 |        634 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\libs\tiny_ttf\stb_truetype_htcw.h                                                                                | C++              |      3,988 |      1,003 |        568 |      5,559 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\lv_extra.c                                                                                                       | C                |         47 |         29 |         22 |         98 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\lv_extra.h                                                                                                       | C++              |         15 |         22 |         12 |         49 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\lv_extra.mk                                                                                                      | Makefile         |          1 |          0 |          1 |          2 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\fragment\README.md                                                                                        | Markdown         |          0 |          0 |          1 |          1 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\fragment\lv_fragment.c                                                                                    | C                |        110 |         17 |         18 |        145 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\fragment\lv_fragment.h                                                                                    | C++              |         67 |        221 |         50 |        338 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\fragment\lv_fragment_manager.c                                                                            | C                |        204 |         40 |         36 |        280 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\gridnav\lv_gridnav.c                                                                                      | C                |        309 |         32 |         36 |        377 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\gridnav\lv_gridnav.h                                                                                      | C++              |         21 |         77 |         26 |        124 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\ime\lv_ime_pinyin.c                                                                                       | C                |        959 |         82 |        146 |      1,187 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\ime\lv_ime_pinyin.h                                                                                       | C++              |         52 |         64 |         25 |        141 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\imgfont\lv_imgfont.c                                                                                      | C                |         71 |         31 |         25 |        127 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\imgfont\lv_imgfont.h                                                                                      | C++              |         16 |         30 |         15 |         61 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\lv_others.h                                                                                               | C++              |         16 |         19 |         10 |         45 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\monkey\lv_monkey.c                                                                                        | C                |        131 |         22 |         35 |        188 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\monkey\lv_monkey.h                                                                                        | C++              |         35 |         60 |         24 |        119 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\msg\lv_msg.c                                                                                              | C                |        124 |         33 |         33 |        190 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\msg\lv_msg.h                                                                                              | C++              |         41 |         77 |         28 |        146 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\snapshot\lv_snapshot.c                                                                                    | C                |        118 |         62 |         35 |        215 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\others\snapshot\lv_snapshot.h                                                                                    | C++              |         19 |         50 |         15 |         84 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\themes\basic\lv_theme_basic.c                                                                                    | C                |        332 |         38 |         55 |        425 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\themes\basic\lv_theme_basic.h                                                                                    | C++              |         14 |         28 |         14 |         56 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\themes\default\lv_theme_default.c                                                                                | C                |        975 |         43 |        158 |      1,176 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\themes\default\lv_theme_default.h                                                                                | C++              |         16 |         34 |         15 |         65 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\extra\themes\lv_themes.h                                                                                               | C++              |         12 |         19 |         10 |         41 |
